Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Sign Up,Chrome 116.0.0.0,,,2023-09-26 23:39:23,2023-09-26 23:40:10,47.675s,PASSED
,,,,,,,
Test Cases/01 - Sign Up/01 - Normal Sign Up,Chrome 116.0.0.0,,,2023-09-26 23:39:23,2023-09-26 23:39:35,12.188s,PASSED
"openBrowser("""")",Chrome 116.0.0.0,,,2023-09-26 23:39:24,2023-09-26 23:39:27,3.450s,PASSED
navigateToUrl(demoBlazeURL),Chrome 116.0.0.0,,,2023-09-26 23:39:27,2023-09-26 23:39:31,4.149s,PASSED
"click(findTestObject(""Sign Up/a_Sign up""))",Chrome 116.0.0.0,,,2023-09-26 23:39:31,2023-09-26 23:39:32,0.710s,PASSED
randomUsername = generateRandomString(8),Chrome 116.0.0.0,,,2023-09-26 23:39:32,2023-09-26 23:39:32,0.000s,PASSED
"chars = ""ABCDEFGHIJKLMNOPQRSTUVWXYZabcdefghijklmnopqrstuvwxyz0123456789"".toCharArray()",Chrome 116.0.0.0,,,2023-09-26 23:39:32,2023-09-26 23:39:32,0.002s,PASSED
random = new java.util.Random(),Chrome 116.0.0.0,,,2023-09-26 23:39:32,2023-09-26 23:39:32,0.011s,PASSED
sb = new java.lang.StringBuilder(),Chrome 116.0.0.0,,,2023-09-26 23:39:32,2023-09-26 23:39:32,0.031s,PASSED
(length - 1)).each({ -> ... }),Chrome 116.0.0.0,,,2023-09-26 23:39:32,2023-09-26 23:39:32,0.029s,PASSED
return sb.toString(),Chrome 116.0.0.0,,,2023-09-26 23:39:32,2023-09-26 23:39:32,0.007s,PASSED
randomPassword = generateRandomString(10),Chrome 116.0.0.0,,,2023-09-26 23:39:32,2023-09-26 23:39:32,0.001s,PASSED
"chars = ""ABCDEFGHIJKLMNOPQRSTUVWXYZabcdefghijklmnopqrstuvwxyz0123456789"".toCharArray()",Chrome 116.0.0.0,,,2023-09-26 23:39:32,2023-09-26 23:39:32,0.000s,PASSED
random = new java.util.Random(),Chrome 116.0.0.0,,,2023-09-26 23:39:32,2023-09-26 23:39:32,0.000s,PASSED
sb = new java.lang.StringBuilder(),Chrome 116.0.0.0,,,2023-09-26 23:39:32,2023-09-26 23:39:32,0.000s,PASSED
(length - 1)).each({ -> ... }),Chrome 116.0.0.0,,,2023-09-26 23:39:32,2023-09-26 23:39:32,0.008s,PASSED
return sb.toString(),Chrome 116.0.0.0,,,2023-09-26 23:39:32,2023-09-26 23:39:32,0.004s,PASSED
"setText(findTestObject(""Sign Up/input_signupUsername""), randomUsername)",Chrome 116.0.0.0,,,2023-09-26 23:39:32,2023-09-26 23:39:33,1.078s,PASSED
"setText(findTestObject(""Sign Up/input_signupPassword""), randomPassword)",Chrome 116.0.0.0,,,2023-09-26 23:39:33,2023-09-26 23:39:34,0.971s,PASSED
"click(findTestObject(""Sign Up/button_Sign up""))",Chrome 116.0.0.0,,,2023-09-26 23:39:34,2023-09-26 23:39:35,0.547s,PASSED
navigateToUrl(demoBlazeURL),Chrome 116.0.0.0,,,2023-09-26 23:39:35,2023-09-26 23:39:35,0.528s,PASSED
,,,,,,,
Test Cases/01 - Sign Up/02 - Negative,Chrome 116.0.0.0,,,2023-09-26 23:39:35,2023-09-26 23:39:53,18.063s,PASSED
"openBrowser("""")",Chrome 116.0.0.0,,,2023-09-26 23:39:36,2023-09-26 23:39:38,2.142s,PASSED
navigateToUrl(demoBlazeURL),Chrome 116.0.0.0,,,2023-09-26 23:39:38,2023-09-26 23:39:40,1.967s,PASSED
