Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Login,Chrome 116.0.0.0,,,2023-09-26 23:41:09,2023-09-26 23:41:40,31.000s,PASSED
,,,,,,,
Test Cases/02 - Login/01 - Normal Login,Chrome 116.0.0.0,,,2023-09-26 23:41:09,2023-09-26 23:41:23,13.400s,PASSED
"openBrowser("""")",Chrome 116.0.0.0,,,2023-09-26 23:41:10,2023-09-26 23:41:13,3.182s,PASSED
navigateToUrl(demoBlazeURL),Chrome 116.0.0.0,,,2023-09-26 23:41:13,2023-09-26 23:41:15,2.140s,PASSED
"click(findTestObject(""Login/a_Login""))",Chrome 116.0.0.0,,,2023-09-26 23:41:15,2023-09-26 23:41:17,1.758s,PASSED
"setText(findTestObject(""Login/input_loginUsername""), username)",Chrome 116.0.0.0,,,2023-09-26 23:41:17,2023-09-26 23:41:18,1.169s,PASSED
"setText(findTestObject(""Login/input_loginPassword""), password)",Chrome 116.0.0.0,,,2023-09-26 23:41:18,2023-09-26 23:41:19,0.973s,PASSED
"click(findTestObject(""Login/button_Login""))",Chrome 116.0.0.0,,,2023-09-26 23:41:19,2023-09-26 23:41:20,0.533s,PASSED
"verifyElementVisible(findTestObject(""Login/a_Name of User""), STOP_ON_FAILURE)",Chrome 116.0.0.0,,,2023-09-26 23:41:20,2023-09-26 23:41:23,3.037s,PASSED
,,,,,,,
Test Cases/02 - Login/02 - Negative Login,Chrome 116.0.0.0,,,2023-09-26 23:41:23,2023-09-26 23:41:40,17.224s,PASSED
"openBrowser("""")",Chrome 116.0.0.0,,,2023-09-26 23:41:24,2023-09-26 23:41:26,2.220s,PASSED
navigateToUrl(demoBlazeURL),Chrome 116.0.0.0,,,2023-09-26 23:41:26,2023-09-26 23:41:27,1.573s,PASSED
"click(findTestObject(""Login/a_Login""))",Chrome 116.0.0.0,,,2023-09-26 23:41:27,2023-09-26 23:41:28,1.132s,PASSED
"username = ""miyako""",Chrome 116.0.0.0,,,2023-09-26 23:41:28,2023-09-26 23:41:28,0.001s,PASSED
"password = ""Test123!""",Chrome 116.0.0.0,,,2023-09-26 23:41:28,2023-09-26 23:41:28,0.001s,PASSED
"click(findTestObject(""Login/button_Login""))",Chrome 116.0.0.0,,,2023-09-26 23:41:28,2023-09-26 23:41:29,0.690s,PASSED
acceptAlert(),Chrome 116.0.0.0,,,2023-09-26 23:41:29,2023-09-26 23:41:29,0.044s,PASSED
"setText(findTestObject(""Login/input_loginPassword""), password)",Chrome 116.0.0.0,,,2023-09-26 23:41:29,2023-09-26 23:41:30,0.954s,PASSED
"click(findTestObject(""Login/button_Login""))",Chrome 116.0.0.0,,,2023-09-26 23:41:30,2023-09-26 23:41:31,0.476s,PASSED
acceptAlert(),Chrome 116.0.0.0,,,2023-09-26 23:41:31,2023-09-26 23:41:31,0.026s,PASSED
"setText(findTestObject(""Login/input_loginUsername""), username)",Chrome 116.0.0.0,,,2023-09-26 23:41:31,2023-09-26 23:41:32,0.859s,PASSED
delay(3),Chrome 116.0.0.0,,,2023-09-26 23:41:32,2023-09-26 23:41:35,3.038s,PASSED
"clearText(findTestObject(""Login/input_loginPassword""))",Chrome 116.0.0.0,,,2023-09-26 23:41:35,2023-09-26 23:41:35,0.478s,PASSED
delay(3),Chrome 116.0.0.0,,,2023-09-26 23:41:35,2023-09-26 23:41:38,3.004s,PASSED
"click(findTestObject(""Login/button_Login""))",Chrome 116.0.0.0,,,2023-09-26 23:41:38,2023-09-26 23:41:39,0.477s,PASSED
acceptAlert(),Chrome 116.0.0.0,,,2023-09-26 23:41:39,2023-09-26 23:41:39,0.026s,PASSED
navigateToUrl(demoBlazeURL),Chrome 116.0.0.0,,,2023-09-26 23:41:39,2023-09-26 23:41:40,1.470s,PASSED
