Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Laptop Shopping,Chrome 116.0.0.0,,,2023-09-26 23:45:30,2023-09-26 23:47:29,1m - 59.026s,PASSED
,,,,,,,
Test Cases/02 - Login/01 - Normal Login,Chrome 116.0.0.0,,,2023-09-26 23:45:30,2023-09-26 23:45:45,14.938s,PASSED
"openBrowser("""")",Chrome 116.0.0.0,,,2023-09-26 23:45:31,2023-09-26 23:45:34,3.396s,PASSED
navigateToUrl(demoBlazeURL),Chrome 116.0.0.0,,,2023-09-26 23:45:34,2023-09-26 23:45:36,2.237s,PASSED
"click(findTestObject(""Login/a_Login""))",Chrome 116.0.0.0,,,2023-09-26 23:45:36,2023-09-26 23:45:38,1.824s,PASSED
"setText(findTestObject(""Login/input_loginUsername""), username)",Chrome 116.0.0.0,,,2023-09-26 23:45:38,2023-09-26 23:45:39,1.177s,PASSED
"setText(findTestObject(""Login/input_loginPassword""), password)",Chrome 116.0.0.0,,,2023-09-26 23:45:39,2023-09-26 23:45:40,0.978s,PASSED
"click(findTestObject(""Login/button_Login""))",Chrome 116.0.0.0,,,2023-09-26 23:45:40,2023-09-26 23:45:41,0.567s,PASSED
"verifyElementVisible(findTestObject(""Login/a_Name of User""), STOP_ON_FAILURE)",Chrome 116.0.0.0,,,2023-09-26 23:45:41,2023-09-26 23:45:45,4.127s,PASSED
,,,,,,,
Test Cases/03 - Shopping/02 - Normal Laptop Shopping,Chrome 116.0.0.0,,,2023-09-26 23:45:45,2023-09-26 23:47:14,1m - 29.361s,PASSED
"callTestCase(findTestCase(""02 - Login/01 - Normal Login""), [:], STOP_ON_FAILURE)",Chrome 116.0.0.0,,,2023-09-26 23:45:46,2023-09-26 23:45:56,10.060s,PASSED
"data = findTestData(""Data Files/Shopping/Laptop Product"")",Chrome 116.0.0.0,,,2023-09-26 23:45:56,2023-09-26 23:45:57,0.709s,PASSED
"scrollToPosition(0, 400)",Chrome 116.0.0.0,,,2023-09-26 23:45:57,2023-09-26 23:45:57,0.036s,PASSED
"click(findTestObject(""Shopping/category_Laptops""))",Chrome 116.0.0.0,,,2023-09-26 23:45:57,2023-09-26 23:45:57,0.485s,PASSED
"for ([i = 1, i <= data.getRowNumbers(), (i++)])",Chrome 116.0.0.0,,,2023-09-26 23:45:57,2023-09-26 23:47:14,1m - 17.218s,PASSED
,,,,,,,
Test Cases/03 - Shopping/04 - Purchase Order,Chrome 116.0.0.0,,,2023-09-26 23:47:14,2023-09-26 23:47:29,14.352s,PASSED
"click(findTestObject(""Shopping/a_Cart""))",Chrome 116.0.0.0,,,2023-09-26 23:47:15,2023-09-26 23:47:17,1.470s,PASSED
"verifyElementPresent(findTestObject(""Shopping/h3_Total Price""), 0)",Chrome 116.0.0.0,,,2023-09-26 23:47:17,2023-09-26 23:47:19,2.003s,PASSED
"click(findTestObject(""Shopping/button_Place Order""))",Chrome 116.0.0.0,,,2023-09-26 23:47:19,2023-09-26 23:47:19,0.425s,PASSED
"setText(findTestObject(""Shopping/input_Name""), ""Miyako"")",Chrome 116.0.0.0,,,2023-09-26 23:47:19,2023-09-26 23:47:20,1.198s,PASSED
"setText(findTestObject(""Shopping/input_Country""), ""Indonesia"")",Chrome 116.0.0.0,,,2023-09-26 23:47:20,2023-09-26 23:47:21,0.866s,PASSED
"setText(findTestObject(""Shopping/input_City""), ""Jakarta"")",Chrome 116.0.0.0,,,2023-09-26 23:47:21,2023-09-26 23:47:22,0.804s,PASSED
randomCreditCard = generateRandomString(15),Chrome 116.0.0.0,,,2023-09-26 23:47:22,2023-09-26 23:47:22,0.001s,PASSED
"chars = ""0123456789"".toCharArray()",Chrome 116.0.0.0,,,2023-09-26 23:47:22,2023-09-26 23:47:22,0.000s,PASSED
random = new java.util.Random(),Chrome 116.0.0.0,,,2023-09-26 23:47:22,2023-09-26 23:47:22,0.014s,PASSED
sb = new java.lang.StringBuilder(),Chrome 116.0.0.0,,,2023-09-26 23:47:22,2023-09-26 23:47:22,0.030s,PASSED
(length - 1)).each({ -> ... }),Chrome 116.0.0.0,,,2023-09-26 23:47:22,2023-09-26 23:47:22,0.030s,PASSED
return sb.toString(),Chrome 116.0.0.0,,,2023-09-26 23:47:22,2023-09-26 23:47:22,0.000s,PASSED
"setText(findTestObject(""Shopping/input_Credit Card""), randomCreditCard)",Chrome 116.0.0.0,,,2023-09-26 23:47:22,2023-09-26 23:47:23,0.928s,PASSED
"setText(findTestObject(""Shopping/input_Month""), ""September"")",Chrome 116.0.0.0,,,2023-09-26 23:47:23,2023-09-26 23:47:24,0.922s,PASSED
"setText(findTestObject(""Shopping/input_Year""), ""2023"")",Chrome 116.0.0.0,,,2023-09-26 23:47:24,2023-09-26 23:47:25,0.806s,PASSED
"click(findTestObject(""Shopping/button_Purchase""))",Chrome 116.0.0.0,,,2023-09-26 23:47:25,2023-09-26 23:47:25,0.492s,PASSED
"verifyElementVisible(findTestObject(""Shopping/h2_Thank you for your purchase""))",Chrome 116.0.0.0,,,2023-09-26 23:47:25,2023-09-26 23:47:27,1.581s,PASSED
"verifyElementPresent(findTestObject(""Shopping/h2_Thank you for your purchase""), 0)",Chrome 116.0.0.0,,,2023-09-26 23:47:27,2023-09-26 23:47:27,0.395s,PASSED
"click(findTestObject(""Shopping/button_OK""))",Chrome 116.0.0.0,,,2023-09-26 23:47:27,2023-09-26 23:47:28,1.318s,PASSED
navigateToUrl(demoBlazeURL),Chrome 116.0.0.0,,,2023-09-26 23:47:28,2023-09-26 23:47:29,0.476s,PASSED
